TeamID,TeamCity,TeamName,Conference,PlayoffRank,WINS,LOSSES,WinPCT,HOME,ROAD,date
1610612738,Boston,Celtics,East,1,64,18,0.78,37-4 ,27-14,2023-24
1610612760,Oklahoma City,Thunder,West,1,57,25,0.695,33-8 ,24-17,2023-24
1610612743,Denver,Nuggets,West,2,57,25,0.695,33-8 ,24-17,2023-24
1610612752,New York,Knicks,East,2,50,32,0.61,27-14,23-18,2023-24
1610612749,Milwaukee,Bucks,East,3,49,33,0.598,31-11,18-22,2023-24
1610612750,Minnesota,Timberwolves,West,3,56,26,0.683,30-11,26-15,2023-24
1610612739,Cleveland,Cavaliers,East,4,48,34,0.585,26-15,22-19,2023-24
1610612746,LA,Clippers,West,4,51,31,0.622,25-16,26-15,2023-24
1610612742,Dallas,Mavericks,West,5,50,32,0.61,25-16,25-16,2023-24
1610612753,Orlando,Magic,East,5,47,35,0.573,29-12,18-23,2023-24
1610612754,Indiana,Pacers,East,6,47,35,0.573,26-15,21-20,2023-24
1610612756,Phoenix,Suns,West,6,49,33,0.598,25-16,24-17,2023-24
1610612740,New Orleans,Pelicans,West,7,49,33,0.598,21-19,28-14,2023-24
1610612755,Philadelphia,76ers,East,7,47,35,0.573,25-16,22-19,2023-24
1610612747,Los Angeles,Lakers,West,8,47,35,0.573,28-14,19-21,2023-24
1610612748,Miami,Heat,East,8,46,36,0.561,22-19,24-17,2023-24
1610612741,Chicago,Bulls,East,9,39,43,0.476,20-21,19-22,2023-24
1610612758,Sacramento,Kings,West,9,46,36,0.561,24-17,22-19,2023-24
1610612737,Atlanta,Hawks,East,10,36,46,0.439,21-20,15-26,2023-24
1610612744,Golden State,Warriors,West,10,46,36,0.561,21-20,25-16,2023-24
1610612745,Houston,Rockets,West,11,41,41,0.5,27-14,14-27,2023-24
1610612751,Brooklyn,Nets,East,11,32,50,0.39,20-21,12-29,2023-24
1610612761,Toronto,Raptors,East,12,25,57,0.305,14-27,11-30,2023-24
1610612762,Utah,Jazz,West,12,31,51,0.378,21-20,10-31,2023-24
1610612763,Memphis,Grizzlies,West,13,27,55,0.329,9-32 ,18-23,2023-24
1610612766,Charlotte,Hornets,East,13,21,61,0.256,11-30,10-31,2023-24
1610612759,San Antonio,Spurs,West,14,22,60,0.268,12-29,10-31,2023-24
1610612764,Washington,Wizards,East,14,15,67,0.183,7-34 ,8-33 ,2023-24
1610612757,Portland,Trail Blazers,West,15,21,61,0.256,11-30,10-31,2023-24
1610612765,Detroit,Pistons,East,15,14,68,0.171,7-33 ,7-35 ,2023-24
