TEAM_ID,TEAM_NAME,GP,W,L,FG%,FG_PCT_Restricted_Area_PER_GP,FG_PCT_In_The_Paint_(Non-RA)_PER_GP,FG_PCT_Left_Corner_3_PER_GP,FG_PCT_Right_Corner_3_PER_GP,FG_PCT_Mid-Range_PER_GP,FG_PCT_Above_the_Break_3_PER_GP,WinPCT,HOME,ROAD
1610612737,Atlanta Hawks,82,36,46,53.9,62.3,44.0,36.0,40.4,46.8,36.0,43.9,51.22,36.59
1610612738,Boston Celtics,82,64,18,57.8,70.3,45.4,42.1,43.9,43.1,37.7,78.0,90.24,65.85
1610612751,Brooklyn Nets,82,32,50,53.1,64.5,40.7,42.4,39.9,38.6,34.6,39.0,48.78,29.27
1610612766,Charlotte Hornets,82,21,61,52.9,65.2,41.7,34.7,37.9,38.2,35.6,25.6,26.83,24.39
1610612741,Chicago Bulls,82,39,43,53.4,62.2,46.4,39.3,37.7,43.7,34.9,47.6,48.78,46.34
1610612739,Cleveland Cavaliers,82,48,34,55.7,65.8,43.8,36.0,38.2,46.2,36.8,58.5,63.41,53.66
1610612742,Dallas Mavericks,82,50,32,56.2,70.7,45.9,34.7,38.0,42.8,37.4,61.0,60.98,60.98
1610612743,Denver Nuggets,82,57,25,56.2,65.1,48.8,36.1,41.3,45.5,37.6,69.5,80.49,58.54
1610612765,Detroit Pistons,82,14,68,52.6,64.4,42.8,31.4,40.7,42.6,34.7,17.1,17.5,16.67
1610612744,Golden State Warriors,82,46,36,55.7,70.3,44.1,36.1,41.7,41.0,38.0,56.1,51.22,60.98
1610612745,Houston Rockets,82,41,41,52.9,64.0,41.6,38.0,40.8,41.2,34.6,50.0,65.85,34.15
1610612754,Indiana Pacers,82,47,35,57.8,68.5,47.3,39.5,42.1,50.5,36.5,57.3,63.41,51.22
1610612746,LA Clippers,82,51,31,56.1,67.0,48.2,41.8,40.1,41.4,37.2,62.2,60.98,63.41
1610612747,Los Angeles Lakers,82,47,35,56.6,72.4,41.8,39.8,37.3,38.6,37.6,57.3,66.67,47.5
1610612763,Memphis Grizzlies,82,27,55,50.9,60.6,40.8,35.5,34.2,36.2,34.8,32.9,21.95,43.9
1610612748,Miami Heat,82,46,36,53.8,63.4,48.6,40.2,38.3,38.0,36.2,56.1,53.66,58.54
1610612749,Milwaukee Bucks,82,49,33,56.8,70.8,42.8,40.7,41.6,45.0,36.0,59.8,73.81,45.0
1610612750,Minnesota Timberwolves,82,56,26,55.9,67.5,43.3,40.8,40.9,39.1,38.1,68.3,73.17,63.41
1610612740,New Orleans Pelicans,82,49,33,55.8,65.9,44.1,42.9,42.4,44.5,37.0,59.8,52.5,66.67
1610612752,New York Knicks,82,50,32,54.0,63.1,45.9,39.0,42.5,39.2,35.5,61.0,65.85,56.1
1610612760,Oklahoma City Thunder,82,57,25,57.3,67.5,46.8,42.3,39.9,46.0,38.1,69.5,80.49,58.54
1610612753,Orlando Magic,82,47,35,54.1,67.2,42.1,37.0,36.4,37.6,34.9,57.3,70.73,43.9
1610612755,Philadelphia 76ers,82,47,35,53.2,63.1,42.0,38.7,40.7,41.6,35.4,57.3,60.98,53.66
1610612756,Phoenix Suns,82,49,33,56.5,67.5,47.4,42.4,38.4,47.4,37.4,59.8,60.98,58.54
1610612757,Portland Trail Blazers,82,21,61,50.3,60.4,37.7,36.4,36.9,41.2,34.0,25.6,26.83,24.39
1610612758,Sacramento Kings,82,46,36,55.6,68.7,48.2,38.8,38.2,39.9,36.0,56.1,58.54,53.66
1610612759,San Antonio Spurs,82,22,60,53.2,66.0,43.5,37.0,38.6,37.2,34.0,26.8,29.27,24.39
1610612761,Toronto Raptors,82,25,57,53.5,67.5,41.2,38.5,36.9,40.6,33.9,30.5,34.15,26.83
1610612762,Utah Jazz,82,31,51,53.9,68.7,44.4,41.8,36.0,35.8,34.3,37.8,51.22,24.39
1610612764,Washington Wizards,82,15,67,53.8,69.7,39.9,37.7,39.2,37.7,33.9,18.3,17.07,19.51
