ID,TEMPO_PERMANENCIA_CLIENTE_MESES,B,C,D,E,G,H,J,OUTROS,TOTAL_DOLAR_FATURADO,TICKET_MEDIO,RECENCIA,FREQUENCIA,VALOR,CHURN
1.0,111.0,30,30,6,6,30,30,36,0,46430.259999999995,7738.376666666666,1096.0,6.0,8.0,0
2.0,0.0,1,0,0,1,0,0,0,0,2900.0,2900.0,6636.0,1.0,1.0,0
3.0,333.0,98530,78991,2672,38076,118403,108383,137274,19873,3074863.95,18412.35898203593,183.0,167.0,1115.0,1
4.0,0.0,0,2,0,0,2,0,2,0,4475.5,4475.5,2467.0,1.0,2.0,1
5.0,185.0,36,12,0,24,24,0,12,12,20573.260000000002,1714.4383333333335,1218.0,12.0,12.0,1
6.0,331.0,968,924,44,132,924,968,968,484,275903.37,6270.5311363636365,61.0,44.0,64.0,0
7.0,266.0,9858,6417,2325,2139,9579,9207,11625,3627,1009787.96,10857.93505376344,91.0,93.0,189.0,1
8.0,104.0,60,96,120,0,132,144,144,0,100492.87,8374.405833333332,153.0,12.0,17.0,0
9.0,166.0,24,6,12,6,18,12,18,12,26186.98,4364.496666666667,1888.0,6.0,6.0,0
10.0,6.0,80,0,2,22,2,2,2,180,106812.38,53406.19,214.0,2.0,102.0,0
11.0,0.0,1,0,1,0,1,0,0,0,1478.9,1478.9,3136.0,1.0,1.0,1
12.0,58.0,2,0,2,2,0,0,0,0,5780.0,2890.0,3166.0,2.0,2.0,0
13.0,124.0,18,6,24,12,18,18,18,6,9097.6,1516.2666666666667,1827.0,6.0,6.0,1
14.0,0.0,1,0,1,1,0,0,0,0,62.44,62.44,4993.0,1.0,1.0,1
15.0,102.0,0,70,20,0,10,10,70,0,55286.159999999996,5528.616,61.0,10.0,21.0,0
16.0,28.0,16,0,16,12,4,4,0,8,17845.67,4461.4175,4262.0,4.0,4.0,0
17.0,0.0,1,0,0,1,0,0,0,0,2895.0,2895.0,5328.0,1.0,1.0,1
18.0,27.0,0,3,9,0,6,0,9,0,6429.66,2143.22,457.0,3.0,3.0,0
19.0,89.0,5,10,0,0,10,10,10,0,18904.43,3780.886,1430.0,5.0,5.0,1
20.0,57.0,12,8,0,8,12,0,8,4,8600.14,2150.035,2467.0,4.0,4.0,1
21.0,185.0,3080,4690,1050,2030,3710,1610,5390,630,437282.68,6246.895428571428,183.0,70.0,115.0,0
22.0,78.0,3,3,0,0,0,0,3,0,8305.82,2768.6066666666666,488.0,3.0,3.0,0
23.0,135.0,988,2128,1292,684,2166,114,2204,494,223379.8,5878.415789473684,61.0,38.0,59.0,0
24.0,0.0,1,0,1,1,1,0,0,1,740.0,740.0,4201.0,1.0,1.0,1
25.0,14.0,120,136,0,64,104,0,136,0,91055.88,11381.985,1888.0,8.0,17.0,0
26.0,214.0,32,48,8,16,80,32,48,40,45329.18,5666.1475,641.0,8.0,11.0,1
27.0,28.0,2,2,0,0,0,0,2,0,6987.29,3493.645,244.0,2.0,2.0,0
28.0,0.0,1,0,1,1,0,0,0,0,3140.0,3140.0,6575.0,1.0,1.0,1
29.0,0.0,1,1,0,0,1,0,1,0,4428.06,4428.06,2161.0,1.0,1.0,1
30.0,48.0,0,0,9,0,0,0,0,0,18617.53,2068.6144444444444,3379.0,9.0,10.0,1
31.0,150.0,182,168,210,182,154,154,126,42,62559.78,4468.555714285714,244.0,14.0,15.0,0
32.0,109.0,0,0,10,0,0,0,0,0,7850.0,1570.0,2710.0,5.0,5.0,1
33.0,0.0,0,0,1,0,0,0,0,0,120.0,120.0,4963.0,1.0,1.0,1
34.0,0.0,1,0,1,0,0,0,0,0,1178.77,1178.77,1491.0,1.0,1.0,0
35.0,45.0,18,36,30,0,18,18,36,0,23015.77,3835.9616666666666,335.0,6.0,6.0,0
36.0,91.0,21,28,7,0,14,21,21,7,42610.86,6087.265714285714,1857.0,7.0,7.0,0
37.0,54.0,153,68,17,0,102,119,238,0,51936.55,3055.0911764705884,122.0,17.0,18.0,0
38.0,171.0,40,40,8,56,24,0,24,16,18441.86,2305.2325,2557.0,8.0,9.0,1
39.0,162.0,40,60,40,20,100,100,100,80,60798.71,3039.9355,3166.0,20.0,32.0,1
40.0,86.0,16,16,20,8,20,0,16,4,26324.019999999997,6581.004999999999,2283.0,4.0,5.0,1
41.0,0.0,0,0,1,0,0,0,0,1,1180.0,1180.0,9101.0,1.0,1.0,1
42.0,0.0,1,0,0,0,0,0,0,0,787.0,787.0,3166.0,1.0,1.0,0
43.0,15.0,2,0,0,0,2,0,0,2,1990.0,995.0,4444.0,2.0,2.0,1
44.0,37.0,0,0,4,0,0,0,0,0,240.0,120.0,4201.0,2.0,2.0,1
45.0,123.0,10,40,15,0,40,10,40,0,73274.63,14654.926000000001,61.0,5.0,11.0,0
46.0,0.0,0,1,0,0,0,0,1,0,4093.4,4093.4,3136.0,1.0,1.0,1
47.0,0.0,1,1,1,0,1,0,1,0,4397.58,4397.58,1126.0,1.0,1.0,0
48.0,159.0,85,85,0,85,0,0,17,85,30877.3,1816.3117647058823,3532.0,17.0,20.0,1
49.0,88.0,3,3,6,0,0,0,3,0,3644.6,1214.8666666666666,2587.0,3.0,3.0,1
50.0,0.0,0,0,1,0,1,0,0,1,780.0,780.0,4352.0,1.0,1.0,1
51.0,175.0,4,0,0,4,0,0,0,0,10259.0,2564.75,3897.0,4.0,4.0,1
