ID,TEMPO_PERMANENCIA_CLIENTE_MESES
469,295
904,401
423,358
1543,244
594,243
698,309
41,0
642,0
1044,0
1302,187
48,159
77,172
906,271
1032,240
1071,0
1392,272
264,16
1375,228
1279,140
516,225
885,231
1173,145
378,200
660,101
1078,224
1549,222
165,136
334,206
785,144
917,0
1088,189
1244,139
74,111
203,149
403,123
724,0
745,69
1058,157
1093,35
1420,87
193,1
350,137
371,0
499,110
739,188
973,184
1327,186
1396,0
56,104
62,29
201,39
1245,155
1344,177
1573,121
75,74
494,160
574,136
599,155
933,27
1221,62
1304,133
1382,43
1564,49
386,101
708,1
717,17
734,11
1069,0
1296,49
50,0
218,137
408,84
415,0
476,32
624,0
651,35
900,134
1020,0
1022,44
1142,0
1345,46
92,34
233,0
289,5
433,0
492,0
587,0
610,0
780,0
799,0
909,127
1297,129
1595,0
258,103
1122,112
1182,42
700,22
867,41
958,9
1175,93
1176,12
1433,0
22,78
66,58
375,11
718,56
748,0
1200,3
261,0
1535,54
29,0
580,0
644,48
647,56
837,0
998,0
1301,0
679,56
831,0
186,0
546,40
547,0
790,33
878,24
1075,0
1157,0
640,18
1252,21
1276,22
1586,19
150,4
194,8
259,10
976,5
1431,0
369,115
1494,284
583,299
1313,253
69,284
1243,169
268,170
1137,174
1335,0
274,260
353,165
729,236
1084,173
1493,99
431,0
999,222
1179,218
1293,0
465,0
1052,0
5,185
791,0
276,60
518,182
1012,103
1130,117
1359,0
78,108
129,200
1001,200
1033,44
1091,0
1149,191
1261,0
1270,156
1448,3
1473,189
543,0
550,157
1278,187
1299,0
1356,0
309,72
365,111
478,1
538,142
1285,0
1372,106
1416,157
266,144
832,0
930,161
1129,25
76,62
168,0
270,36
526,0
555,75
765,0
99,111
545,0
556,63
1174,0
1485,0
207,0
230,0
625,0
753,0
978,34
313,0
380,0
505,0
559,106
830,107
872,0
1064,8
1065,0
1480,0
1499,0
184,91
364,0
500,90
777,0
1117,24
295,82
296,44
314,93
646,57
1305,0
1559,11
344,0
317,0
1504,35
37,54
282,50
961,0
1061,0
248,0
390,39
458,11
1581,44
750,32
1556,3
1177,0
1361,0
1455,0
614,336
6,331
1237,201
1210,295
114,150
332,184
840,200
855,164
209,178
490,255
682,270
265,0
400,0
761,60
762,248
899,249
1242,149
1260,247
1536,209
804,0
1162,0
1178,0
1548,165
316,193
1320,235
1512,0
1537,227
1594,232
213,132
272,0
621,148
788,183
1193,221
1553,0
360,202
493,56
927,201
941,136
1072,0
1337,0
1456,156
1470,166
1561,16
65,0
643,196
687,189
833,187
834,4
980,161
1049,142
61,0
418,69
1037,0
1435,68
118,0
631,74
634,140
934,23
1135,164
1256,77
1390,85
178,0
466,50
773,62
1015,140
1139,0
1212,160
1387,42
36,91
176,19
223,0
453,0
685,0
912,49
921,152
140,0
182,63
299,0
396,84
719,42
728,0
1481,17
1566,15
164,106
304,35
336,79
438,0
480,125
598,77
669,95
744,0
1400,117
1437,0
1531,0
1563,0
155,73
452,113
894,103
1108,8
1168,0
1185,9
1348,32
1509,47
618,82
693,0
1368,17
4,0
303,0
692,0
792,75
1522,31
356,0
960,56
35,45
327,0
617,0
798,0
1367,0
836,0
335,0
681,0
946,0
1323,0
1426,0
577,214
945,316
319,127
1146,192
914,279
70,107
94,195
298,183
659,147
119,259
421,148
609,131
192,156
527,184
551,238
581,245
582,137
315,95
525,210
854,87
1094,223
1515,232
1516,76
102,0
347,220
1247,133
1248,73
1326,222
108,190
822,100
952,76
1228,176
1474,0
1510,201
179,139
779,180
1287,116
132,0
389,166
463,50
602,0
924,186
1026,135
1465,0
1487,137
1546,185
44,37
122,121
479,0
769,113
770,155
1039,160
1112,174
14,0
130,84
362,0
541,65
605,15
1306,0
1570,66
104,115
232,124
502,125
557,54
805,24
1501,0
124,0
467,0
592,46
593,24
923,21
935,17
1257,29
1290,0
1357,20
1565,0
160,41
280,9
377,0
554,4
637,74
1171,99
1352,0
1373,103
1404,127
1464,80
451,12
508,0
536,0
597,4
694,36
793,0
950,48
1110,0
1505,0
1513,1
15,102
42,0
697,0
1447,75
514,0
1153,26
653,55
807,67
847,49
1060,0
414,0
841,0
1576,35
1314,12
1445,0
665,0
1427,0
1495,0
615,159
498,214
217,330
190,241
971,244
1187,157
1508,278
366,0
856,281
1086,117
1476,217
1547,207
1578,268
149,0
162,270
442,244
641,167
676,268
1089,185
1411,264
1541,151
876,233
1370,254
214,178
1106,228
1164,243
1258,245
26,214
54,183
893,4
1029,219
1341,0
143,0
151,0
346,222
471,202
835,0
