NUMERO_DO_CASO,DATA_ABERTURA,TOTAL_CASOS,TOTAL_NAO_ABANDONADOS,TOTAL_ABANDONADOS,TOTAL_FATURADO_DOLAR,SERVICO_AGRUPADO
46027,01/2000,1,0,1,845.0,A;B;C
80454,01/2000,1,1,0,885.0,D;A
91391,01/2000,1,0,1,220.0,E
108855,01/2000,1,1,0,885.0,D;A
278599,01/2000,1,0,1,1180.0,D;A
107271,01/2001,1,0,1,440.0,D
175781,01/2001,1,0,1,3520.0,A;B;C
175790,01/2001,1,0,1,2840.0,A;B;E;C
205427,01/2001,1,0,1,300.0,D;B
287202,01/2001,1,0,1,4856.75,D;A;B;E;C
490660,01/2001,1,0,1,1273.5,B
494500,01/2001,1,0,1,710.0,A;B;C
512214,01/2002,1,0,1,940.0,D;E
512230,01/2002,1,0,1,340.0,D;E
512273,01/2002,1,1,0,2352.5,A;B;E;C
512532,01/2002,1,0,1,2507.5,A;B;E;C
512990,01/2002,1,0,1,-530.0,A;B
513385,01/2002,1,0,1,230.0,A;B
513636,01/2002,1,0,1,2105.0,A;B;E;C
514276,01/2002,1,1,0,2545.0,A;B;E;C
514373,01/2002,1,0,1,710.0,A;B;C
514411,01/2002,1,0,1,1770.0,D;A
514535,01/2002,1,1,0,1690.0,D;E
514780,01/2002,1,0,1,1300.0,D;A
515876,01/2002,1,0,1,4930.0,D;A;B;E;C
601810,01/2003,1,0,1,3460.0,D;B;E
601888,01/2003,1,0,1,2800.0,D;A;B;E;C
602531,01/2003,1,0,1,816.0,F;A;B
602590,01/2003,1,0,1,1475.0,D;A
602752,01/2003,1,0,1,5250.0,D;A;B;E
603031,01/2003,1,0,1,1171.0,D;B
603180,01/2003,1,0,1,3250.0,D;B;E
603198,01/2003,1,0,1,2130.0,D;A;B
603201,01/2003,1,0,1,2080.0,D;A;B
603252,01/2003,1,0,1,180.0,B
603260,01/2003,1,0,1,1805.0,A;B;E
604755,01/2003,1,0,1,570.0,E
604852,01/2003,1,0,1,2275.0,A;B;E;C
604909,01/2003,1,1,0,570.0,E
605670,01/2003,1,0,1,220.0,E
606499,01/2003,1,0,1,800.0,B
606634,01/2003,1,0,1,1380.0,A;B;E
666327,01/2004,1,0,1,440.0,D
666700,01/2004,1,0,1,230.0,A;B
666769,01/2004,1,0,1,590.0,A
666793,01/2004,1,1,0,738.0,E
666807,01/2004,1,0,1,1495.0,D;A
666955,01/2004,1,0,1,297.5,E
666980,01/2004,1,0,1,2825.0,A;B;E;C
667013,01/2004,1,0,1,3308.63,A;B;E;C
667102,01/2004,1,0,1,985.0,D;A;E
667455,01/2004,1,0,1,4713.0,A;B;C
667650,01/2004,1,0,1,2320.0,A;B;E;C
667676,01/2004,1,0,1,627.0,D;B
667749,01/2004,1,1,0,8730.0,A;B;C
667951,01/2004,1,0,1,484.5,E
668117,01/2004,1,0,1,1180.0,D;A
669105,01/2004,1,0,1,650.0,E
669245,01/2004,1,0,1,570.0,E
669318,01/2004,1,0,1,250.0,B
669458,01/2004,1,1,0,4565.0,A;B;C
669580,01/2004,1,0,1,6140.0,B;E
669601,01/2004,1,0,1,6440.0,B;E
669610,01/2004,1,0,1,3585.0,A;B;E;C
669814,01/2004,1,0,1,513.0,E
669946,01/2004,1,0,1,570.0,E
669997,01/2004,1,0,1,4700.0,B
670073,01/2004,1,0,1,450.0,B
670200,01/2004,1,0,1,4596.0,B
728683,01/2005,1,0,1,2610.0,D;B
728853,01/2005,1,0,1,250.0,B
728896,01/2005,1,0,1,800.0,B
728918,01/2005,1,0,1,3865.0,A;B
728950,01/2005,1,0,1,1882.75,A;B;E;C
729175,01/2005,1,0,1,5325.6,B
729183,01/2005,1,1,0,4275.0,B;E
729205,01/2005,1,0,1,2380.0,B;E
729248,01/2005,1,0,1,3490.0,D;B
729647,01/2005,1,0,1,3250.0,B
729701,01/2005,1,0,1,3606.25,A;B;E;C
729710,01/2005,1,0,1,710.0,D
729787,01/2005,1,0,1,1897.5,D;B
730106,01/2005,1,1,0,2830.0,B;E
730211,01/2005,1,0,1,2905.0,B;E
730220,01/2005,1,0,1,2525.0,A;B;E;C
730300,01/2005,1,0,1,5980.0,A;B
731242,01/2005,1,0,1,1300.0,A;B;C
731250,01/2005,1,0,1,4137.5,A;B;C
731544,01/2005,1,1,0,5142.0,A;B;E;C
731650,01/2005,1,0,1,12146.5,G;A;B
731722,01/2005,1,0,1,1912.5,A;B;E;C
731803,01/2005,1,1,0,3060.0,D;B;E
731811,01/2005,1,0,1,2555.0,A;B;C
731943,01/2005,1,0,1,3000.0,B;E
788155,01/2006,1,0,1,2825.0,B
788180,01/2006,1,1,0,2465.0,B;E
788309,01/2006,1,0,1,440.0,D
788325,01/2006,1,0,1,120.0,D
788821,01/2006,1,0,1,575.0,A;B;C
788830,01/2006,1,0,1,575.0,A;B;C
788910,01/2006,1,0,1,230.0,A;B
788929,01/2006,1,1,0,2355.0,B;E
789046,01/2006,1,1,0,3865.0,H;B;E
789178,01/2006,1,1,0,9310.7,G;A;B;E
789534,01/2006,1,1,0,4870.5,D;A;B;E
789542,01/2006,1,0,1,195.5,A;B
789550,01/2006,1,0,1,895.0,A;B;C
789623,01/2006,1,1,0,8916.0,B;E
789631,01/2006,1,1,0,2530.0,B;E
789950,01/2006,1,1,0,3250.0,B;E
790249,01/2006,1,1,0,16015.0,D;H;A;B;E
790702,01/2006,1,0,1,4045.0,A;B;E;C
790788,01/2006,1,0,1,240.0,D
790796,01/2006,1,0,1,120.0,D
790800,01/2006,1,0,1,1460.0,B
791059,01/2006,1,0,1,3115.0,D;B
791156,01/2006,1,0,1,4581.16,B
791164,01/2006,1,0,1,1215.0,D;B
791342,01/2006,1,1,0,3520.0,A;B;E;C
791369,01/2006,1,1,0,3310.0,D;B;E
791377,01/2006,1,1,0,3275.0,D;B;E
791385,01/2006,1,1,0,3785.0,D;B;E
791393,01/2006,1,1,0,3141.0,D;B;E
791490,01/2006,1,0,1,2405.0,A;B;E
791601,01/2006,1,1,0,570.0,E
791610,01/2006,1,0,1,755.0,B
791679,01/2006,1,1,0,2500.0,A;B;E;C
791920,01/2006,1,1,0,2540.0,B;E
791954,01/2006,1,1,0,5450.0,B;E
791962,01/2006,1,0,1,5700.0,D;A;B;C
846031,01/2007,1,1,0,11990.0,B
846040,01/2007,1,0,1,560.51,B
846066,01/2007,1,0,1,4315.0,A;B;C
846333,01/2007,1,0,1,2389.5,B;E
846341,01/2007,1,0,1,845.0,A;B;C
846376,01/2007,1,0,1,1700.0,D;E
846554,01/2007,1,0,1,5385.0,D;B;E
846732,01/2007,1,1,0,3710.0,D;B;E
846791,01/2007,1,0,1,440.0,D
846945,01/2007,1,1,0,6435.0,A;B;E
847089,01/2007,1,1,0,2330.0,B;E
847380,01/2007,1,0,1,2730.0,I;A;B;E;C
847437,01/2007,1,0,1,960.0,B
847658,01/2007,1,0,1,440.0,D
847682,01/2007,1,0,1,440.0,D
847690,01/2007,1,0,1,440.0,D
847712,01/2007,1,0,1,450.0,B
847747,01/2007,1,1,0,3020.0,B;E
847780,01/2007,1,0,1,440.0,D
847933,01/2007,1,1,0,9792.5,G;B;E
847941,01/2007,1,1,0,2995.0,B;E
848140,01/2007,1,0,1,1705.0,D;E
848190,01/2007,1,0,1,250.0,B
848670,01/2007,1,1,0,5485.0,D;A;B;E;C
848727,01/2007,1,0,1,2907.79,B;E
848743,01/2007,1,0,1,440.0,D
848751,01/2007,1,0,1,440.0,D
848778,01/2007,1,1,0,4691.0,D;B;E
848808,01/2007,1,0,1,250.0,B
849006,01/2007,1,1,0,4030.0,D;B;E
849219,01/2007,1,0,1,6995.0,B;E
849308,01/2007,1,1,0,10524.0,I;F;G;A;B;E;C
849448,01/2007,1,1,0,1805.0,A;E;C
849510,01/2007,1,0,1,2670.0,B;E
849693,01/2007,1,0,1,4438.0,B
849707,01/2007,1,0,1,560.0,D
849723,01/2007,1,0,1,1700.0,B
849774,01/2007,1,0,1,760.0,D
849782,01/2007,1,0,1,4130.0,D;A;B;C
849839,01/2007,1,1,0,2625.5,B;E
849847,01/2007,1,0,1,760.0,D
849863,01/2007,1,0,1,760.0,D
923516,01/2008,1,1,0,2550.0,B;E
923559,01/2008,1,0,1,4830.0,D;B;E
923567,01/2008,1,1,0,2240.3,H;A;B;E
923621,01/2008,1,0,1,800.0,B
923648,01/2008,1,1,0,1281.0,D;E
923672,01/2008,1,1,0,3270.0,B;E
923745,01/2008,1,1,0,650.0,E
