DATA_ABERTURA_CASO,NUMERO_DO_CASO,TIPO_PAGADOR,ID
01/2000,46027,Escritório,642
01/2000,80454,Empresa,1207
01/2000,91391,Escritório,217
01/2000,108855,Escritório,1070
01/2000,278599,Escritório,41
01/2001,107271,Empresa,1044
01/2001,175781,Empresa,1383
01/2001,175790,Empresa,1383
01/2001,205427,Escritório,1302
01/2001,287202,Escritório,982
01/2001,490660,Escritório,904
01/2001,494500,Escritório,1560
01/2002,512214,Escritório,1392
01/2002,512230,Escritório,1066
01/2002,512273,Empresa,1383
01/2002,512532,Escritório,187
01/2002,512990,Escritório,77
01/2002,513385,Empresa,906
01/2002,513636,Empresa,48
01/2002,514276,Empresa,1383
01/2002,514373,Escritório,778
01/2002,514411,Escritório,1032
01/2002,514535,Escritório,1071
01/2002,514780,Escritório,423
01/2002,515876,Escritório,1066
01/2003,601810,Escritório,1066
01/2003,601888,Escritório,1066
01/2003,602531,Escritório,191
01/2003,602590,Empresa,264
01/2003,602752,Escritório,1131
01/2003,603031,Empresa,983
01/2003,603180,Escritório,1392
01/2003,603198,Escritório,1392
01/2003,603201,Escritório,1392
01/2003,603252,Escritório,1381
01/2003,603260,Empresa,77
01/2003,604755,Escritório,879
01/2003,604852,Empresa,48
01/2003,604909,Escritório,1391
01/2003,605670,Escritório,1375
01/2003,606499,Escritório,1381
01/2003,606634,Escritório,1468
01/2004,666327,Empresa,1207
01/2004,666700,Escritório,449
01/2004,666769,Escritório,1493
01/2004,666793,Empresa,649
01/2004,666807,Escritório,1100
01/2004,666955,Empresa,1218
01/2004,666980,Empresa,1383
01/2004,667013,Empresa,491
01/2004,667102,Escritório,134
01/2004,667455,Escritório,815
01/2004,667650,Escritório,879
01/2004,667676,Escritório,982
01/2004,667749,Empresa,1383
01/2004,667951,Empresa,491
01/2004,668117,Escritório,507
01/2004,669105,Empresa,649
01/2004,669245,Empresa,1279
01/2004,669318,Empresa,348
01/2004,669458,Escritório,725
01/2004,669580,Escritório,1383
01/2004,669601,Escritório,1383
01/2004,669610,Escritório,1383
01/2004,669814,Empresa,649
01/2004,669946,Escritório,1386
01/2004,669997,Empresa,1114
01/2004,670073,Escritório,676
01/2004,670200,Empresa,319
01/2005,728683,Escritório,1066
01/2005,728853,Empresa,470
01/2005,728896,Escritório,885
01/2005,728918,Escritório,1536
01/2005,728950,Empresa,491
01/2005,729175,Empresa,1383
01/2005,729183,Empresa,1383
01/2005,729205,Empresa,1383
01/2005,729248,Escritório,1085
01/2005,729647,Empresa,319
01/2005,729701,Empresa,491
01/2005,729710,Empresa,271
01/2005,729787,Escritório,982
01/2005,730106,Empresa,509
01/2005,730211,Empresa,470
01/2005,730220,Escritório,1240
01/2005,730300,Escritório,1383
01/2005,731242,Escritório,1240
01/2005,731250,Escritório,1398
01/2005,731544,Escritório,720
01/2005,731650,Escritório,1173
01/2005,731722,Empresa,491
01/2005,731803,Escritório,507
01/2005,731811,Escritório,1392
01/2005,731943,Empresa,1383
01/2006,788155,Empresa,319
01/2006,788180,Empresa,1218
01/2006,788309,Escritório,1188
01/2006,788325,Escritório,1188
01/2006,788821,Escritório,1549
01/2006,788830,Empresa,1494
01/2006,788910,Empresa,1095
01/2006,788929,Empresa,319
01/2006,789046,Escritório,119
01/2006,789178,Escritório,1381
01/2006,789534,Escritório,982
01/2006,789542,Empresa,6
01/2006,789550,Escritório,879
01/2006,789623,Empresa,319
01/2006,789631,Empresa,319
01/2006,789950,Escritório,1391
01/2006,790249,Escritório,910
01/2006,790702,Escritório,683
01/2006,790788,Escritório,698
01/2006,790796,Escritório,698
01/2006,790800,Escritório,582
01/2006,791059,Escritório,1515
01/2006,791156,Empresa,614
01/2006,791164,Escritório,660
01/2006,791342,Escritório,1251
01/2006,791369,Escritório,378
01/2006,791377,Escritório,378
01/2006,791385,Escritório,378
01/2006,791393,Escritório,378
01/2006,791490,Empresa,1383
01/2006,791601,Escritório,914
01/2006,791610,Escritório,1240
01/2006,791679,Escritório,1398
01/2006,791920,Escritório,1078
01/2006,791954,Escritório,329
01/2006,791962,Escritório,69
01/2007,846031,Escritório,1088
01/2007,846040,Escritório,813
01/2007,846066,Empresa,77
01/2007,846333,Empresa,683
01/2007,846341,Escritório,1536
01/2007,846376,Escritório,165
01/2007,846554,Escritório,785
01/2007,846732,Escritório,577
01/2007,846791,Escritório,698
01/2007,846945,Escritório,161
01/2007,847089,Escritório,1375
01/2007,847380,Escritório,119
01/2007,847437,Escritório,579
01/2007,847658,Escritório,423
01/2007,847682,Escritório,423
01/2007,847690,Escritório,423
01/2007,847712,Escritório,917
01/2007,847747,Escritório,1398
01/2007,847780,Escritório,698
01/2007,847933,Empresa,904
01/2007,847941,Empresa,368
01/2007,848140,Escritório,1244
01/2007,848190,Escritório,227
01/2007,848670,Escritório,1100
01/2007,848727,Empresa,614
01/2007,848743,Escritório,423
01/2007,848751,Escritório,698
01/2007,848778,Escritório,1040
01/2007,848808,Empresa,1095
01/2007,849006,Escritório,683
01/2007,849219,Escritório,683
01/2007,849308,Escritório,856
01/2007,849448,Empresa,3
01/2007,849510,Escritório,334
01/2007,849693,Escritório,1398
01/2007,849707,Escritório,1066
01/2007,849723,Escritório,1398
01/2007,849774,Escritório,1066
01/2007,849782,Escritório,215
01/2007,849839,Escritório,904
01/2007,849847,Escritório,1066
01/2007,849863,Escritório,1066
01/2008,923516,Escritório,360
01/2008,923559,Escritório,1354
01/2008,923567,Escritório,361
01/2008,923621,Empresa,470
01/2008,923648,Escritório,982
01/2008,923672,Empresa,319
01/2008,923745,Empresa,319
01/2008,923800,Escritório,177
01/2008,923893,Escritório,1093
01/2008,923907,Escritório,1188
01/2008,923923,Escritório,177
01/2008,923940,Empresa,649
01/2008,924008,Escritório,403
01/2008,924040,Escritório,177
01/2008,924091,Escritório,999
01/2008,924180,Empresa,509
01/2008,924229,Escritório,745
01/2008,924342,Empresa,1420
01/2008,924601,Escritório,982
01/2008,924628,Escritório,683
01/2008,924687,Escritório,203
