DATA_MENSAL,TOTAL_CASOS,TOTAL_DOLAR_FATURADO,ID
2021-02-01,1,5130.92,1
2021-03-01,1,8468.84,1
2021-04-01,2,11791.38,1
2016-06-01,1,2940.12,1
2012-09-01,2,11280.0,1
2021-12-01,1,6819.0,1
2006-10-01,1,2900.0,2
2007-01-01,1,1805.0,3
2008-01-01,1,3502.5,3
2009-01-01,1,3506.0,3
2010-01-01,2,4925.0,3
2012-01-01,3,3080.0,3
2013-01-01,8,24671.0,3
2014-01-01,10,21250.0,3
2015-01-01,17,55952.0,3
2016-01-01,7,11448.0,3
2017-01-01,6,21114.9,3
2018-01-01,8,30132.49,3
2019-01-01,8,34346.52,3
2020-01-01,8,27878.0,3
2021-01-01,1,1722.0,3
2022-01-01,5,10660.0,3
2024-01-01,1,2589.0,3
2009-02-01,2,2360.0,3
2011-02-01,1,2330.0,3
2012-02-01,2,6831.0,3
2013-02-01,8,18628.84,3
2014-02-01,21,68042.0,3
2015-02-01,21,59556.88,3
2016-02-01,21,68747.0,3
2017-02-01,8,27719.0,3
2018-02-01,25,61242.0,3
2019-02-01,4,10577.0,3
2020-02-01,5,21488.0,3
2021-02-01,5,12274.5,3
2022-02-01,1,6723.41,3
2024-02-01,1,11722.57,3
2008-03-01,2,5844.0,3
2010-03-01,4,8665.0,3
2011-03-01,1,2606.0,3
2012-03-01,1,200.0,3
2013-03-01,8,10623.0,3
2014-03-01,10,23610.0,3
2015-03-01,8,26791.56,3
2016-03-01,14,38909.0,3
2017-03-01,18,41533.0,3
2018-03-01,5,16841.0,3
2019-03-01,7,15544.0,3
2020-03-01,1,1722.0,3
2021-03-01,1,3151.0,3
2022-03-01,3,5965.0,3
2024-03-01,1,1722.0,3
2008-04-01,4,15363.0,3
2009-04-01,1,3500.0,3
2011-04-01,1,4673.0,3
2012-04-01,1,710.0,3
2013-04-01,14,29183.0,3
2014-04-01,15,40175.58,3
2015-04-01,10,21678.88,3
2016-04-01,6,27381.0,3
2017-04-01,8,25396.0,3
2018-04-01,11,32510.0,3
2019-04-01,2,4044.0,3
2020-04-01,6,20543.29,3
2021-04-01,2,3533.0,3
2008-05-01,1,2477.5,3
2009-05-01,3,12257.0,3
2010-05-01,4,800.0,3
2011-05-01,2,3190.0,3
2012-05-01,3,4810.0,3
2013-05-01,17,21942.0,3
2014-05-01,23,67763.16,3
2015-05-01,5,10919.48,3
2016-05-01,8,24177.0,3
2017-05-01,16,49603.0,3
2018-05-01,14,33696.0,3
2019-05-01,3,7935.0,3
2021-05-01,5,8921.0,3
2022-05-01,4,7359.0,3
2024-05-01,1,2325.19,3
2008-06-01,1,980.0,3
2009-06-01,4,7395.0,3
2010-06-01,5,12275.0,3
2011-06-01,12,28925.5,3
2012-06-01,10,26689.0,3
2013-06-01,1,1180.0,3
2014-06-01,17,49011.0,3
2015-06-01,29,75085.4,3
2016-06-01,25,70596.3,3
2017-06-01,20,57271.0,3
2018-06-01,14,32686.0,3
2019-06-01,2,3444.0,3
2021-06-01,1,3682.0,3
2023-06-01,4,13146.6,3
2024-06-01,1,1242.0,3
2007-07-01,1,1414.0,3
2008-07-01,2,5300.75,3
2011-07-01,2,2513.0,3
2012-07-01,2,5510.0,3
2013-07-01,4,13652.0,3
2014-07-01,11,26143.0,3
2015-07-01,12,49149.0,3
2016-07-01,4,12055.0,3
2017-07-01,5,25632.0,3
2018-07-01,5,15340.0,3
2019-07-01,2,7139.0,3
2021-07-01,1,4552.0,3
2023-07-01,2,4057.0,3
1996-08-01,1,0.0,3
2009-08-01,1,8895.0,3
2010-08-01,1,4855.0,3
2011-08-01,3,3935.0,3
2012-08-01,7,15247.0,3
2013-08-01,5,10924.0,3
2014-08-01,8,22873.0,3
2015-08-01,25,70216.0,3
2016-08-01,11,25539.2,3
2017-08-01,13,28201.0,3
2018-08-01,8,38015.0,3
2019-08-01,1,3829.0,3
2021-08-01,1,2272.0,3
2009-09-01,1,1160.0,3
2010-09-01,1,1350.0,3
